variavel,coeficiente,impacto_absoluto
num__quantidade_pagamentos,-0.059606309940917104,0.059606309940917104
cat__categoria_principal_home_appliances,-0.052023516190416105,0.052023516190416105
cat__categoria_principal_small_appliances_home_oven_and_coffee,0.046364712451389734,0.046364712451389734
num__log_volume,0.040221429173482426,0.040221429173482426
cat__categoria_principal_fashion_male_clothing,-0.04014753375237191,0.04014753375237191
cat__estado_vendedor_SC,0.038160782427951685,0.038160782427951685
cat__estado_vendedor_MG,-0.03773145289831347,0.03773145289831347
cat__categoria_principal_music,0.035406990793166344,0.035406990793166344
cat__customer_state_PE,0.03405976232673394,0.03405976232673394
cat__categoria_principal_toys,0.0338789963809013,0.0338789963809013
cat__categoria_principal_furniture_living_room,-0.03118757417878529,0.03118757417878529
cat__categoria_principal_drinks,-0.030917553182822074,0.030917553182822074
num__log_peso,0.021176532916446816,0.021176532916446816
cat__categoria_principal_housewares,0.019851521537184995,0.019851521537184995
num__hora_compra,0.01823618042355711,0.01823618042355711
num__dia_semana_compra,0.014811461208296689,0.014811461208296689
num__parcelas_maximas,0.011588982622664716,0.011588982622664716
num__frete_preco,-0.010875433732038475,0.010875433732038475
cat__customer_state_PI,0.007418540474893799,0.007418540474893799
